rich_pid_6,sample_sha1
0,3615
1,411
4,28
6,131
10,101
11,285
14,20
15,3
18,2
19,34
22,2
25,19
28,19
29,10
37,35
39,4
48,14
49,23
61,4
64,1
69,16
90,38
92,2
93,67
94,8
95,41
96,18
105,1
109,32
110,80
113,4
114,63
120,59
122,228
123,39
124,122
125,5
126,17
131,103
132,123
137,5
138,217
145,96
146,127
147,84
148,113
149,6
151,2
154,93
155,4
156,1
157,21
158,6
170,38
171,80
174,12
175,34
180,4
184,2
185,22
188,1
189,2
201,12
202,4
203,84
205,3
206,17
207,20
208,5
209,2
211,272
219,32
220,11
221,2
222,8
223,9
224,160
225,48
228,3
229,31
237,7
239,3
244,7
247,1
255,2224
256,2
257,13
258,1
259,10
260,74
261,51
262,4
263,1
264,1
265,19
